code	beschrijving	nummer_systeembeschrijving	ef_ammoniak_kg_nh3_per_jaar	ef_geur_oue_per_sec	ef_fijnstof_g_pm10_per_jaar	diercategorie_code	diercategorie_omschrijving	tussenkop	hoofdcategorie
HA1.1	Grupstal met drijfmest	OW 1993.09.V1	5,7	–	81	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.2	Ligboxenstal met hellende vloer en giergoot	OW 1993.03.V1, OW 1993.04.V1, OW 1993.05.V1, OW 1993.06.V1, OW 1994.08.V1	10,2	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.3	Ligboxenstal met hellende vloer en spoelsysteem	OW 1994.03.V1	9,2	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.4	Ligboxenstal met hellende vloer en giergoot met spoelsysteem of roostervloer met spoelsysteem	OW 2001.28.V1	10,2	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.5	Ligboxenstal met dichte geprofileerde hellende vloer	OW 2009.11.V1	11,0	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.6	Ligboxenstal met dichte hellende vloer met rubber toplaag	OW 2009.22.V1	11,0	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.7	Ligboxenstal met sleufvloer	OW 2010.14.V1, OW 2010.24.V1	11,8	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.8	Ligboxenstal met roostervloer met bolle rubber toplaag en afdichtflappen in roosterspleten waarvoor voor 12 april 2017 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	OW 2010.30.V1	6,0	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.9	Ligboxenstal met roostervloer met bolle rubber toplaag	OW 2010.31.V1	7	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.10	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	OW 2010.32.V1	11,8	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.11	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	OW 2010.33.V1	12,2	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.12	Ligboxenstal met roostervloer met cassettes in de roosterspleten	OW 2010.34.V1	7	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.13	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten met afdichtflappen	OW 2010.35.V1	7	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.14	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten met afdichtkleppen waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	OW 2010.36.V1	10,3	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.15	Ligboxenstal met V-vormige vloer met gietasfalt in combinatie met een gierafvoerbuis en met mestschuif waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	OW 2012.01.V1	11,7	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.16	Mechanisch geventileerde stal met een chemisch luchtwassysteem waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	OW 2012.02.V1	5,1	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.17	Ligboxenstal met V-vormige vloer van geprofileerde vloerelementen in combinatie met een gierafvoerbuis	OW 2012.04.V1	8	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
HA1.18	Ligboxenstal met roostervloer met hellende groeven of hellend gelegd met afdichtkleppen in roosterspleten	OW 2012.05.V1	11	–	148	HA1	Diercategorie melk- en kalfkoeien van 2 jaar en ouder (inclusief kalveren jonger dan 14 dagen)		HOOFDCATEGORIE A: RUNDVEE
