farm_animal_housing_category_id	farm_animal_category_id	code	name	description	farm_emission_factor_type
1	1	HA1.1	HA1.1	Grupstal met drijfmest	per_animal_per_year
2	1	HA1.2	HA1.2	Ligboxenstal met hellende vloer en giergoot	per_animal_per_year
3	1	HA1.3	HA1.3	Ligboxenstal met hellende vloer en spoelsysteem	per_animal_per_year
4	1	HA1.4	HA1.4	Ligboxenstal met hellende vloer en giergoot met spoelsysteem of roostervloer met spoelsysteem	per_animal_per_year
5	1	HA1.5	HA1.5	Ligboxenstal met dichte geprofileerde hellende vloer	per_animal_per_year
6	1	HA1.6	HA1.6	Ligboxenstal met dichte hellende vloer met rubber toplaag	per_animal_per_year
7	1	HA1.7	HA1.7	Ligboxenstal met sleufvloer	per_animal_per_year
8	1	HA1.8	HA1.8	Ligboxenstal met roostervloer met bolle rubber toplaag en afdichtflappen in roosterspleten waarvoor voor 12 april 2017 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	per_animal_per_year
9	1	HA1.9	HA1.9	Ligboxenstal met roostervloer met bolle rubber toplaag	per_animal_per_year
10	1	HA1.10	HA1.10	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	per_animal_per_year
11	1	HA1.11	HA1.11	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	per_animal_per_year
12	1	HA1.12	HA1.12	Ligboxenstal met roostervloer met cassettes in de roosterspleten	per_animal_per_year
13	1	HA1.13	HA1.13	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten met afdichtflappen	per_animal_per_year
14	1	HA1.14	HA1.14	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten met afdichtkleppen waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum	per_animal_per_year
