farm_animal_housing_category_id	farm_additional_housing_system_id
1	19
2	19
3	19
4	19
5	19
6	19
7	19
8	19
9	19
10	19
11	19
12	19
13	19
14	19
15	19
16	19
17	19
18	19
19	19
20	19
21	19
22	19
23	19
24	19
25	19
26	19
27	19
28	19
29	19
30	19
31	19
32	19
33	19
34	19
35	19
36	19
37	19
38	19
39	19
40	19
42	24
42	25
42	26
42	27
42	28
42	33
42	34
42	35
42	36
42	37
42	38
42	42
42	43
42	44
42	45
42	46
42	47
43	24
43	25
43	26
43	27
43	28
43	33
43	34
43	35
43	36
43	37
43	38
43	42
43	43
43	44
43	45
43	46
43	47
44	24
44	25
44	26
44	27
44	28
44	33
44	34
44	35
44	36
44	37
44	38
44	42
44	43
44	44
44	45
44	46
44	47
49	24
49	25
49	26
49	27
49	28
49	33
49	34
49	35
49	36
49	37
49	38
49	42
49	43
49	44
49	45
49	46
49	47
50	24
50	25
50	26
50	27
50	28
50	33
50	34
50	35
50	36
50	37
50	38
50	42
50	43
50	44
50	45
50	46
50	47
51	24
51	25
51	26
51	27
51	28
51	33
51	34
51	35
51	36
51	37
51	38
51	42
51	43
51	44
51	45
51	46
51	47
52	23
52	24
52	25
52	26
52	27
52	28
52	30
52	33
52	34
52	35
52	36
52	37
52	38
52	42
52	43
52	44
52	45
52	46
52	47
53	23
53	24
53	25
53	26
53	27
53	28
53	30
53	33
53	34
53	35
53	36
53	37
53	38
53	42
53	43
53	44
53	45
53	46
53	47
54	23
54	24
54	25
54	26
54	27
54	28
54	30
54	33
54	34
54	35
54	36
54	37
54	38
54	42
54	43
54	44
54	45
54	46
54	47
55	23
55	24
55	25
55	26
55	27
55	28
55	30
55	33
55	34
55	35
55	36
55	37
55	38
55	42
55	43
55	44
55	45
55	46
55	47
56	23
56	24
56	25
56	26
56	27
56	28
56	30
56	33
56	34
56	35
56	36
56	37
56	38
56	42
56	43
56	44
56	45
56	46
56	47
57	23
57	24
57	25
57	26
57	27
57	28
57	30
57	33
57	34
57	35
57	36
57	37
57	38
57	42
57	43
57	44
57	45
57	46
57	47
58	23
58	24
58	25
58	26
58	27
58	28
58	30
58	33
58	34
58	35
58	36
58	37
58	38
58	42
58	43
58	44
58	45
58	46
58	47
59	23
59	24
59	25
59	26
59	27
59	28
59	30
59	33
59	34
59	35
59	36
59	37
59	38
59	42
59	43
59	44
59	45
59	46
59	47
60	23
60	24
60	25
60	26
60	27
60	28
60	30
60	33
60	34
60	35
60	36
60	37
60	38
60	42
60	43
60	44
60	45
60	46
60	47
61	23
61	24
61	25
61	26
61	27
61	28
61	30
61	33
61	34
61	35
61	36
61	37
61	38
61	42
61	43
61	44
61	45
61	46
61	47
62	23
62	24
62	25
62	26
62	27
62	28
62	30
62	33
62	34
62	35
62	36
62	37
62	38
62	42
62	43
62	44
62	45
62	46
62	47
63	23
63	24
63	25
63	26
63	27
63	28
63	30
63	33
63	34
63	35
63	36
63	37
63	38
63	42
63	43
63	44
63	45
63	46
63	47
64	23
64	24
64	25
64	26
64	27
64	28
64	30
64	33
64	34
64	35
64	36
64	37
64	38
64	42
64	43
64	44
64	45
64	46
64	47
65	23
65	24
65	25
65	26
65	27
65	28
65	30
65	33
65	34
65	35
65	36
65	37
65	38
65	42
65	43
65	44
65	45
65	46
65	47
