farm_animal_housing_category_id	substance_id	emission_factor
1	17	5.7
2	17	10.2
3	17	9.2
4	17	10.2
5	17	11
6	17	11
7	17	11.8
8	17	6
9	17	7
10	17	11.8
11	17	12.2
12	17	7
13	17	7
14	17	10.3
15	17	11.7
16	17	5.1
17	17	8
18	17	11
19	17	10.1
20	17	7
21	17	11
22	17	6
23	17	7
24	17	10.3
25	17	8
26	17	8
27	17	6
28	17	9.9
29	17	8
30	17	8.1
31	17	9.1
32	17	7.1
33	17	9
34	17	8
35	17	6
36	17	6.4
37	17	8.9
38	17	3
39	17	6.2
40	17	13
41	17	4.4
42	17	2.5
43	17	1.9
44	17	3.5
45	17	4.1
46	17	5.3
47	17	6.2
48	17	0.7
49	17	1.9
50	17	0.8
51	17	0.2
52	17	0.2
53	17	0.24
54	17	0.18
55	17	0.25
56	17	0.23
57	17	0.26
58	17	0.33
59	17	0.17
60	17	0.21
61	17	0.18
62	17	0.18
63	17	0.39
64	17	0.15
65	17	0.2
66	17	0.17
67	17	0.21
68	17	0.69
69	17	3.3
70	17	3.7
71	17	4
72	17	3.1
73	17	4
74	17	3.1
75	17	5
76	17	2.5
77	17	2.9
78	17	2.9
79	17	3.2
80	17	2.9
81	17	1.3
82	17	2.4
83	17	8.3
84	17	2.4
85	17	1.8
86	17	2.5
87	17	2.5
88	17	1.8
89	17	1.8
90	17	2.2
91	17	2.2
92	17	2.2
93	17	2.2
94	17	2.3
95	17	2.5
96	17	2.6
97	17	1.5
98	17	4.2
99	17	4.2
100	17	5.5
101	17	1.9
102	17	4.5
103	17	1.6
104	17	1
105	17	1.3
106	17	1.2
107	17	1.7
108	17	1.7
109	17	1
110	17	1
111	17	1.4
112	17	1.4
113	17	1.5
114	17	1.9
115	17	1.2
116	17	1.5
117	17	1.6
118	17	2.4
119	17	1.7
120	17	1.4
121	17	1.4
122	17	2
123	17	1.1
124	17	0.77
125	17	3
126	17	0.02
127	17	0.02
128	17	0.006
129	17	0.01
130	17	0.011
131	17	0.045
132	17	0.208
133	17	0.016
134	17	0.17
135	17	0.088
136	17	0.11
137	17	0.088
138	17	0.05
139	17	0.03
140	17	0.03
141	17	0.023
142	17	0.014
143	17	0.02
144	17	0.17
145	17	0.045
146	17	0.03
147	17	0.03
148	17	0.402
149	17	0.11
150	17	0.125
151	17	0.15
152	17	0.15
153	17	0.068
154	17	0.106
155	17	0.09
156	17	0.055
157	17	0.042
158	17	0.025
159	17	0.037
160	17	0.315
161	17	0.114
162	17	0.129
163	17	0.129
164	17	0.077
165	17	0.044
166	17	0.25
167	17	0.08
168	17	0.17
169	17	0.13
170	17	0.23
171	17	0.25
172	17	0.435
173	17	0.435
174	17	0.435
175	17	0.245
176	17	0.58
177	17	0.004
178	17	0.012
179	17	0.004
180	17	0.038
181	17	0.031
182	17	0.017
183	17	0.035
184	17	0.021
185	17	0.035
186	17	0.012
187	17	0.021
188	17	0.068
189	17	0.004
190	17	0.012
191	17	0.004
192	17	0.038
193	17	0.031
194	17	0.017
195	17	0.035
196	17	0.021
197	17	0.035
198	17	0.012
199	17	0.021
200	17	0.068
201	17	0.08
202	17	0.08
203	17	0.05
204	17	0.03
205	17	0.05
206	17	0.15
207	17	0.24
208	17	0.24
209	17	0.15
210	17	0.47
211	17	0.59
212	17	0.36
213	17	0.26
214	17	0.35
215	17	0.35
216	17	0.21
217	17	0.68
218	17	0.32
219	17	0.21
220	17	0.019
221	17	0.3
222	17	1.8
223	17	2.5
224	17	0.77
225	17	0.5
226	17	1.2
227	17	0.12
228	17	0.12
229	17	0.2
230	17	5
231	17	2.1
232	17	3.1
233	17	1.3
